canonical,variants,count
Jan van Huchtenburgh,JAN VAN HUCHTENBURG | JAN VAN HUCHTENBURGH | JAN VAN HUGHTENBURGH | JAN VAN HUGTENBURG | JAN van HUCHTENBURGH | Jan van Huchtenbourgh | Jan van Huchtenburg | Jan van Huchtenburgh | Jan van Hughtenburg | Jan van Hughtenburgh | Jan van Hugtenburg | Jan van Hugtenburgh | Jan von Huchtenburgh,64
COCHIN,COCHIN,64
Anton van Dyck,ANTON VAN DyCK | Anthon van Dyck | Anthonie van Dyck | Anthonis van Dyck | Anthonius van Dyck | Antoine Van Dyck | Antoine van DYCK | Antoine van Dyck | Anton van Dyck | Anton van Dyick | Anton van Dyk | Antoni van Dyck | Antonie van Dyck | Antonius van Dyck | Antonius von Dyck,64
DETAILLE,DETAILLE | Detaille,64
ANTON BURGER,ANTON BURGER | Anton BURGER | Anton Burger | JOHANN BURGER,64
Paul Weber,Adolf Weber | Karl Weber | Paul Weber,64
FRANCESCO GUARDI,FRANCESCO GUARDI | FRANCESCOGUARDI | Francesco Curradi | Francesco GUARDI | Francesco Guardi,63
Carlo Dolci,CARLO DOLCE | CARLO DOLCI | Carlo Dolce | Carlo Dolci | Carlo olce,63
D. TENIERS,D Teniers | D. TENIERS | D. Teniers | D.TENIERS | D.Teniers,63
OUDRY,OUDRY,63
BONINGTON,BONINGTON | BONNINGTON,63
BONAVENTURA PEETERS,BONAVENTUM PETERS | BONAVENTUR PEETERS | BONAVENTURA PEETERS | BONAVENTURA PETERS | BONAVENTUUR PEETERS | Bonaventura Peeters | Bonaventura Peters | Bonaventuur PEETERS,63
ADOLF SCHREYER,ADOLF C. SCHLEICHER | ADOLF SCHREYER | ADOLF SCHREyER | ADOLF SCHROEDTER | Adolf SCHREYER | Adolf Schreyer | Adolf Schrodter,63
Franz von Stuck,FRANZ VON STUCK | FRANZ von STUCK | FRANZ von STuCK | Franz von Stuck,63
HENDRIK VAN BALEN,HENDRICK VAN BALEN | HENDRIK VAN BALEN | HENDRIK van BALEN | HENRI VAN BALEN | HENRIK VAN BALEN | Hendrick van Baalen | Hendrick van Balen d. A. | Hendrik van Balen | Hendrik yan Balen,62
DANIEL SEGHERS,DANIEL SEEGHERS | DANIEL SEGERS | DANIEL SEGHERS | DANIEL SEYHERS | DANIELSEGHERS | Daniel SEGHERS | Daniel Seghers,62
NICOLAAS BERCHEM,NICOLA BERCHEM | NICOLAAS BERCHEM | NICOLAAS BERGHEM | NICOLAS BERCHEM | NICOLAS BERGHEM | NICOLAUS BERCHEM | NICOLAUS BERGHEM | NIKOLAAS BERGHEM | NIKOLAS BERGHEM | Nicolaas Berchem | Nicolaas Berdhem | Nicolas Berchem | Nicolaus Berchem | Nikolas Berchem,62
FERDINAND BOL,FERDINAND BOL | Ferdinand BOL | Ferdinand Bol | Serdinand Bol,62
PISSARRO,C.Pissaro | PISSARO | PISSARRO,62
GUSTAVE COURBET,GUSTAVE C0URBET | GUSTAVE COURBET | GUSTAVE COURTOIS | GUSTAVE COuRBET | GUSTAVECOURBET | Gustave Courbet,62
Hermann Kaulbach,HERMANM KAULBACH | HERMANN KAULBACH | Hermann KAULBACH | Hermann Kauibach | Hermann Kaulbach | Hermann Krabbes,62
FRIEDRICH VOLTZ,FRIEDRICH JENTZEN | FRIEDRICH METZ | FRIEDRICH V0LTZ | FRIEDRICH VOLTZ | FRIEDRICHVOLTZ | FRIEDRICHVOLTZt,62
Otto Seitz,OTTO SEHRNDT | OTTO SEITZ | OTTO SELTZER | Otto Seit | Otto Seitz,62
GERARD,GERARD | GERHARD | GERHARD GRAF,61
Max Gaisser,MAX GAISSER | MAXGAISSER | Max GAIssER | Max Gaiser | Max Gaisser | Max Geisser,61
A.Stademann,A. Stademann | A.STADELMANN | A.STADEMANN | A.Stademann,60
HUGO VON HABERMANN,HUGO VON HABERMANN | HUGO von HABERMANN | HUGOVONHABERMANN | HuGO von HABERMANN | Hugo von Habermann | Hugo yon Habermann,60
JACOB VAN RUISDAEL,JACOB VAN RUISDAAL | JACOB VAN RUISDAEL | JACOB VAN RUYSDAEL | JACOB Van RUISDAEL | JACOB van RUISDAEL | Jacob S. van Ruisdael | Jacob VAN RUISDAEL | Jacob van RUISDAEL | Jacob van Ruisdael | Jacob van Ruysdael | Jakob van Ruisdael | Jakob van Ruysdael,59
PATER,PATENIER | PATER,59
Hyacinthe Rigaud,HIACYNTHE RIGAUD | HYACINTH RIGAUD | HYACINTHE RIGAUD | HyACINTHE RIGAUD | Hyacinthe RIGAUD | Hyacinthe Rigaud,58
MELCHIOR D'HONDECOETER,MELCHIOR D'HONDECOETER | MELCHIOR D'HONDEKOETER | MELCHIOR DHONDECOETER | MELCHIOR HONDECOETER | MELCHIOR HONDEKOETER | MELCHIOR d'HONDECOETER | MELCHIORRE HONDEKOETER | Melchior D'HONDECOETER | Melchior d' Hondekoeter | Melchior d'Hondecoeter | Melchior d'Hondekoeter | melchior d'hondecoeter,58
JODOCUS DE MOMPER,JODOCUS DE MOMPER | JODOCUS MOMPER | JODOCUS de MOMPER | JODOKUS DE MOMPER | JoDOCUS DE MOMPER | Jodocus Momper | Jodocus de Momper,58
ADOLPH VON MENZEL,ADOLF VON MENZEL | ADOLFVONMENZEL | ADOLPH VON MENZEL,58
TOURNIERES,TOURNEMINE | TOURNIERES,58
EDUARD VON GEBHARDT,EDUARD GEBHARDT | EDUARD GERHARDT | EDUARD VON GEBHARDT | EDUARDVON GEBHARDT | Eduard v. Gebhardt | Eduard von Gebhardt,58
WILLEM VAN DE VELDE,WILLEM VAN DE VELDE | WILLEM VAN DE VELDE DER JUNGERE | WILLEM VAN DE VELDE I | WILLEM VAN DE VELDE LE JEUNE | WILLEM VAN DE VELDE.DER IUNGERE | WILLEM VAN DER VELDE | WILLEM VAN DER VELDE DER JUNGERE | WILLEM VAN DER VLIET | WILLEM VAN DEVELDE | WILLEM van de VELDE | Wilhelm van der Velde | Willem VAN DE VELDE le Jeune | Willem VAN DEVELDE | Willem van de Velde | Willem van de Velde II | Willem van der Velde,57
