ZERI,variants,new
,de fermoirs et coins argent coule et cisele des xvlle et xvile siecles,True
,"de huit pommeaux de rapieres et d'épees, en fer cisele, grave, dore et ajoure des xvile et xvilre siecles",True
,Knowles,True
,Pitcairn-Knowles,True
,considerable de diverses curiosites en tous genres contenues dans les cabinets de feu M,True
,"de tableaux, gouaches, etc",True
,de tableaux des,True
,Pouyer-Quertier,True
,"ce sont des femmes,cesont des meres telles que sont les femmes qui sourient pres d'eux, les meres qui sont assisesa leur foyer; regardez Jesus et la Samaritaine,ce curieux groupe d'albatre: il ya la un homme dont la divinite ne se devine pas encore, ou du moins ne doit pas se trahir encore,et une jeune fille elegante, ingenue,mais ingenue avec une pointe de coquetterie,comme il convient, de par lopposition naturelle des sexes;regardez dansles ivoires,dans les os sculptes,les scenes du drame chretien; c'est la vie encore, la vie contemporaine empruntant seulement au dogme quelque signe pour se particulariser, mais demeurant telle que ces scenes sortent de I'histoire pour etre vraiment des heures d'eternite!",True
,"si riche en documentsprecieux, elle re porte pes a des idees frivoles,comme le ferait une collection des galants amuseurs du xvin· siecle;mais elle a a mon sens une portee plus haute: elle nous prcuve,qu'a l'eoque ogivale,et meme a lepoque romane, louvrier",True
,"des galants amuseurs du xvin· siecle;mais elle a a mon sens une portee plus haute: elle nous prcuve,qu'a l'eoque ogivale,et meme a lepoque romane, louvrier",True
,TiMBAL et MIcHELLI,True
,de medailles et les fit monter en collier,True
,Double),True
,de vingt masques de No,True
,"Pacully,le portrait du grand",True
,"'il avait mis quarante annees a former,piece a piece,au hasard de recherches fructueuseset detrouvailles capables de lui susciter des jaloux",True
,"le vieux maitre dAuteuil,les ceuvres patiemment accumulees,unies en une fraternelle compagnie,vont se separer anouveau;gardant,avec le dechirement de cette separation,le souvenir des heures heureuses et des heures funebres vecues ensemble dans le discret hotel de Coi gny, elles vont ajouter ces souvenirs recents aux souvenirs anciens, et, apres cette halte hospitaliere et douce,eparpiller melancoliquement les mysteres de leur passe vers les mysteres de leur avenir",True
,"interessante de soixante flacons a betel et a tabac en jade, sardoine, agate, cristal de roche, ambre, verre,porcelaine, émail cloisonne, gres et biscuit, avec bouchons en pierreries sertis d'or et d'argent",True
,Schiff),True
,Schevitch,True
,"renferme une serie fort respectable de six chasses de differents modeles et de differentes dimensions, dont la fabrication date de la fin du xl siecle et du courant du xne siecle",True
,des bijoux,True
,"Schevitch, est veritablement importante, qu'on ne s'est point contente d'y reunir un certain nombre de monuments de premier ordre et tout a fait caracteristiques,mais qu'encore,autour de ces monuments, on a voulu grouper des pieces destinees a faire connaitre la serie des procedes employes par les emailleurs limousins et les differents genres qu'ils ont cultives depuis la fin du xve siecle jusqu'a la fin du xvie siecle",True
,"Dzyalinsky et provient de Rome, lequel est decore a linterieur de nielles executes en or et exterieurement de verroteries cloisonnees",True
,Schlosser,True
,"de couteaux, fourchettes,cuil",True
,de serrures de diverses epoques,True
,d'environ quarante-huit cles de diverses époques,True
