catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,5,482,ROMANA beatificationis... D. Camillae Ursinae Burghesiae fundatricis... Monasterij... vulgo nuncupati « delle Turchine» de Urbe.,"482. ROMANA beatificationis... D. Camillae Ursinae Burghesiae fundatricis... Monasterij... vulgo nuncupati « delle Turchine» de Urbe.

Esempl. leg. in perg. con impressovi in oro lo stemma dei Principi Borghese. Proveniente dalla Biblioteca Borghese."
documents/BO0624_4389,490,7,"tales et occidentales. Dovay, Fr. Fabri [1604], in-4°, leg: coeva. -- Descriptionis Ptolemaicae augmentum. Duaci, Fr. Fabri,","7. tales et occidentales. Dovay, Fr. Fabri [1604], in-4°, leg: coeva. -- Descriptionis Ptolemaicae augmentum. Duaci, Fr. Fabri,"
documents/BO0624_4389,7,1603,; leg. coeva in perg.,- 1603 ; leg. coeva in perg.
documents/BO0624_4389,1603,491,"GOETHE. Faust. Eine Tragödie. Mit Zeichnungen von En- gelbert Seibertz. Stuttgart, Cotta, 1854, 2 parti in un vol. leg: in pelle e in pergam. artisticamente, con borchie figurate, taglio dorato.","491. GOETHE. Faust. Eine Tragödie. Mit Zeichnungen von En- 10. gelbert Seibertz. Stuttgart, Cotta, 1854, 2 parti in un vol. leg: in pelle e in pergam. artisticamente, con borchie figurate, taglio dorato."
documents/BO0624_4389,492,12,"latine). Lut. Parisiorum, typ. Regiis, 1620, in-fol.","12. latine). Lut. Parisiorum, typ. Regiis, 1620, in-fol.
- b) PTOLOMAEUS CI. ALEX. La Geografia nuovamente tradotta di Greco in Italiano da G10. RUSCELLI. Venetia, Val-"
documents/BO0624_4389,12,14,"grisi, 156г.","14. grisi, 156г."
documents/BO0624_4389,14,493,"a) EUSEBIUS PAMPHILUS. Ecclesiast. historiae libri decem. (Graece et lat.). Aug. Taurinorum, 1746, in.fol. ) SOCRATES SCHOLASTICUS et SOZOMENUS HERMIAS. Hist. Ecclesiastica. (Gr. et lat.). Aug. Taurin., 1747, in-fol.","493. a) EUSEBIUS PAMPHILUS. Ecclesiast. historiae libri decem. (Graece et lat.). Aug. Taurinorum, 1746, in.fol. - 6) SOCRATES SCHOLASTICUS et SOZOMENUS HERMIAS. Hist. Ecclesiastica. (Gr. et lat.). Aug. Taurin., 1747, in-fol.
- c) THEODORITUS Ep. et EVAGRIUS Scholasticus. Hist. Ecclesiastica. (Gr. et lat.). Aug. Taurinorum, 1748, in-fol."
documents/BO0624_4389,499,6,") MOUNTNEY JEPHSON A. J. Emin Pasha. London, Searle,","- 6) MOUNTNEY JEPHSON A. J. Emin Pasha. London, Searle,"
documents/BO0624_4389,6,1890,500. a) SELOUS F. C. Travel and Adventure in South-Fast Africa.,"- 1890.
500. a) SELOUS F. C. Travel and Adventure in South-Fast Africa.
- London, 1893.
- b) NEUMANN Arthur. Elephant-Hunting in east Equatorial
- Africa. London, 1898."
documents/BO0624_4389,1890,501,"a) MACINTURE Donald, Major General. Hindu-Koh. Edinburgh, 1889.","501. a) MACINTURE Donald, Major General. Hindu-Koh. Edinburgh, 1889.
- b) SANDERSON G. P. Thirteen Years among the Wild Beasts
- of India. London, 1893.
- c) HUNTER W. The Indian Empire. London, Trubner, 1886."
documents/BO0624_4389,502,2,1901.,"2. 1901.
- c) STANLEY PENRHYN Arth. Sinai and Palestine. London,"
documents/BO0624_4389,2,4,1871.,4. 1871.
documents/BO0624_4389,4,503,"a) KIPLING RUDYARD. Out of India. New York, 1895.","503. a) KIPLING RUDYARD. Out of India. New York, 1895.
- c) STEVENSON Prob. L. David Balfour. New York, 1893.
- b) THOMPSON H. C. China and the Powers. London, 1902."
documents/BO0624_4389,510,28,"Basil, 1800; voll. 3.","28. Basil, 1800; voll. 3.
- c) PHILLIPS March. With Remington. London, 1902."
